Unnamed: 0,sentence,labels
289,If we can come confirm the details and download know hidden please as well from my end if you have to read the quotation getting stuff here roy.,irrelevant
290,"Okay. Perfect. So there there'll be an additional fee for us handling the gift deposit part. I have included that in a quotation. No new government's schemes will be used. I've saved down the details, the code is getting generated.",irrelevant
291,"So would you like to keep the standard access or waive the excess? So the best you can give is what one what you're saying? One twenty... So with the standard one hundred dollar and i and I've already applied the discount, it would come to a hundred and twenty five dollars and ninety nine cents.",irrelevant
292,Is that locking? And you'll think so. She had two major issues within 12 months.,irrelevant
293,Okay. And may I... Please?,irrelevant
294,So could you spell my phone call just confirm to me your full name and date of for this month.,did rep ask for the spelling of customer name?
295,"For security reasons, this call may be recorded. Could you please spell your full name and birthdate?",call recording disclaimer/did rep ask for the spelling of customer name?
296,That's great. Thank you for that. So this is your personal insurance policy.,irrelevant
297,"Hi. This is Missus Roy Og. My name is Lea. I'm calling from moved financing, and you be from",call opening greeting
298,Please hold while I confirm your full address.,call hold/did rep ask the exact customer address?
299,An illness with an 80% benefit.,irrelevant
300,So if I'll tell you what happens if you pull out of the transaction.,irrelevant
301,Amazing. Thanks so much. Have a good day. Bye.,call closing greeting
302,I can say you're calling from your mobile and we have your email address.,irrelevant
303,Yes. Okay. So you're traveling just in the United States of America?,irrelevant
304,I'm saying I shouldn't have picked rock Varla.,irrelevant
305,That's one word riseup.,irrelevant
306,"Okay, you've signed it off. Yep, so I can see that there.",irrelevant
307,Just wanted to confirm with you a few details on info transaction.,irrelevant
308,"To keep your details current, can I get your exact address and a secondary contact number?",did rep ask the exact customer address?/secondary contact numbers
309,Oh my God. Yeah. Okay. So the light cover off. Just one night.,irrelevant
310,"That's correct. Yes. Wonderful. Wonderful. Okay. So the only slight change was that ten id ten pounds for identification of the other person I'll just send across the quotation for your reference, Andrew and I gonna take much of your time.",irrelevant
311,This with regards to the quotation request for the purchase.,purpose of the call
312,May I verify your address and contact number?,did rep ask the exact customer address?/secondary contact numbers
313,"Before moving on, can you confirm your name and address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
314,"Thank you. Have a good day. Thank you, bye-bye.",call closing greeting
315,I'll just if I put you on hold for a minute. I just want to double-check this service. Okay.,irrelevant
316,Kindly provide your full name spelled out and your birth year.,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
317,Perfect. Thanks a lot.,irrelevant
318,What do you mean by changing the name? Well change the right so you've got a change of ownership for me.,irrelevant
319,"For security reasons, this call is recorded. Could you confirm your home address and contact number before we discuss policies?",call recording disclaimer/general advice warning
320,Reed? I'm really not sure about that.,irrelevant
321,Welcome to asteron life you're speaking with ma'am.,call opening greeting
322,"Welcome to AA Asha speaking with Susan. Hello, good morning. Yes. Yes.",call opening greeting
323,That's fine. Okay. So can... What's your full name?,did rep ask for the spelling of customer name?
324,The the the four digit month and year expiry for the card. See. Okay. I'll just refresh that into that again. Four digits month year. And can you enter the three digit security code on the back of the card?,irrelevant
325,Grace. Greece.,irrelevant
326,"Sorry. This person can't answer at the moment. So please leave a message after the tone. If you'd like to change your message after you've left it, Please press hash.",irrelevant
327,You look looks as though that you wanted a decreased quote.,irrelevant
328,"I'm looking at Monday period this Monday. Okay.  And when when you return to Australia? Well, that's an open team, but it could potentially be three weeks. Okay. So three weeks from Monday, the t thirty would be Monday, the twentieth of June.",irrelevant
329,Hi Good afternoon. This is Louis. My name is Y. I'm calling from Morgan link.,call opening greeting
330,"Okay. Are welcoming you to have a baby evening, but I",call closing greeting
331,I would really appreciate if you could provide me with an update on your transaction and my number is 02081244093 The number again is 02081244093 You can either call me send me an email line.,irrelevant
332,I'll just put you on hold while I verify your address.,call hold/did rep ask the exact customer address?
333,"Okay, so you could we're open from 8 a.m. To 6 p.m. Monday to Friday. So anytime you want to make a partial payment see that just give us a ring and we can do that. You'll need your debit card and we'll do a payment. That way does it sound like a good plan?",irrelevant
